File Name,Domain,Neapolitan Text,Automated Translation,Parmigiano,Siciliano
024.m4a,Play,Appriesso a chella schifosa!,Dietro a quella schifosa!,Dadardè a còlla schifosa!,Dietro a dda schifosa!
025.m4a,Play,Che te cride ca nun l'avevo capito?,Che credi che non l’avessi capito?,Che credi che non l’avessi capito?,Ca credi ca nun l’avessi capito?
026.m4a,Play,"Tu buscie nun ne saie dicere, e chisto è 'o difetto tuio.","Tu bugie non sai dire, e questo è il tuo difetto.","Ti bugie non sai dìr, e còst è il tò traverga.","Tu bugie nun sai diri, e chistu è lu tò difetto."
027.m4a,Play,"Cinquantaduie anne, e se permette 'e se mettere cu' na figliola 'e vintiduie!","Cinquantadue anni, e si permette di mettersi con una ragazza di ventidue!","Cinquantadue anni, e agh permette di mèttros cón ’n giòvna di ventidue!","Cinquantadue anni, e si permette di mittìrisi cu na picciotta di ventidue!"
028.m4a,Play,Nun se ne mette scuorno,Non si vergogna,Non agh vargògna,Nun si affruntu
029.m4a,Play,"E mm' 'a mette dint' 'a casa, dicenno ca era l'infermiera... Pecché isso se credeva overo ca io stevo murenno.","E me la mette in casa, dicendo che era l’infermiera... Perché lui si credeva davvero che io stessi morendo.","E am la mette in ca, dicendo che era l’infermiera... Parchè al agh credeva dabón che mi stessi morendo.","E mâ mette ndi casa, dicendo ca era l’infermiera... Pirchì iddu si credeva dammiru ca mianu stissi morendo."
030.m4a,Play,Madonna... quanto me faie schifo!,Madonna... quanto mi fai schifo!,Madònna... quant am fai schifo!,Madonna... quantu mi fai schifo!
031.m4a,Play,"E se io stevo murenno overamente, tu chesto avisse fatto?","E se io stessi davvero morendo, tu questo avresti fatto?","E se mi stessi dabón morendo, ti còst avresti fat?","E siddu mianu stissi dammiru morendo, tu chistu avresti fattu?"
032.m4a,Play,"Ma pecché, tu murive e io nun avev' 'a magnà cchiu?","Ma perché, tu morivi e io non dovevo più mangiare?","Ma parchè, ti morivi e mi non dovevo pu paciär?","Ma pirchì, tu morivi e mianu nun dovevo cchiù mangiari?"
033.m4a,Play,Nun m'avev' 'a sustené?,Non dovevo sostenere?,Non dovevo insprocär?,Nun dovevo sostenere?
034.m4a,Play,Ch'e rrose mmiez' 'a tavula?,Con le rose in mezzo alla tavola?,Cón il rose daméz a la tävla?,Chî rosi ndi menzu â tàvula?
035.m4a,Play,"Ma pecché, nun ero padrone d' 'e mmettere?","Ma perché, non ero padrone di metterle?","Ma parchè, non ero padrón di metterle?","Ma pirchì, nun ero patruni di metterle?"
036.m4a,Play,Quanto me faie ridere!,Quanto mi fai ridere!,Quant am fai rìddor!,Quantu mi fai rìdiri!
037.m4a,Play,"Ma che me ne mporta 'e te, d' 'a figliola che t'ha fatto perdere 'a capa, 'e tutto chello ca me dice?","Ma che me ne importa di te, della ragazza che ti ha fatto perdere la testa, di tutto quello che mi dici?","Ma che am in importa di te, della giòvna che ti ha fat spasionäros la paracúl, di incósa còll che am dici?","Ma ca mìa ndi importa di te, dâ picciotta ca ti ha fattu pèrdiri a caramonia, di tuttu ddu ca mi dici?"
038.m4a,Play,Ma tu te cride overo ca io ll'aggio fatto pe' te?,Ma tu credi davvero che l’ho fatto per te?,Ma ti credi dabón che l’ho fat per te?,Ma tu credi dammiru ca l’ho fattu pi te?
039.m4a,Play,"Ma io nun te curo, nun t'aggio maie curato.","Ma io non ti curo, non ti ho mai curato.","Ma mi non ti curo, non ti ho mäi curato.","Ma mianu nun ti curo, nun ti ho mai curatu."
040.m4a,Play,"Na femmena comm' a mme, ll'he ditto tu e mm' 'o stai dicenno 'a vinticinc'anne, se fa 'e cunte.","Una donna come me, l’hai detto tu e me lo stai dicendo da venticinque anni, si fa i conti.","’n dònna cme am, l’hai detto ti e am lo stai dicendo da venticinque anni, agh fa i conti.","Na mugghieri comu mìa, l’hai detto tu e mû stai dicendo pi venticinque anni, si fa li conti."
041.m4a,Play,"Me sierve... Tu, me sierve!","Mi serve... Tu, mi serve!","Am serve... Ti, am serve!","Mi serve... Tu, mi serve!"
042.m4a,Play,E denare! E nun te l'avarria date?,E soldi! E non te li avrei dati?,E sóld! E non te li avrei dati?,E quibbus! E nun te li avrei dati?
043.m4a,Play,"Filume', tu afforza me vuo pògnere?","Filumè, tu davvero vuoi farmi prendere?","Filumè, ti dabón vuoi farmi ruscär?","Filumè, tu dammiru vuoi farmi pigghiari?"
044.m4a,Play,"Ma pecché nun avev' 'a mangià, secondo voi?","Ma perché non avevo da mangiare, secondo voi?","Ma parchè non avevo da paciär, secónd vu?","Ma pirchì nun avevo pi mangiari, secunnu vuàutri?"
045.m4a,Play,Qua sta 'a cena.,Qua sta la cena.,Qua sta la sén’na.,Ccà sta a cena.
046.m4a,Play,"Quanno site venuto ogge p'urdinà 'a cena, ve ricurdate?","Quando siete venuti oggi a ordinare la cena, ve lo ricordate?","Quand siete venuti incò a ordinär la sén’na, ve lo ricordate?","Quannu siete venuti oi a ordinare a cena, ve lu ricordate?"
047.m4a,Poetry,"Cient’anne arreto ch’era viva Vava,","Cento anni fa che viveva Vava,","Sént anni fa che viveva Vava,","Centu anni fa ca viveva Vava,"
048.m4a,Poetry,"nnante che ffosse Vartommeo Coglione,","prima che fosse Vartommeo Coglione,","prìmma che bòdri Vartommeo Coglione,","prima ca fosse Vartommeo Coglione,"
049.m4a,Poetry,dicea no cierto che l’auciello arava,diceva un certo che l’uccello arava,diceva un certo che l’ozlón arava,diceva nu nga ca l’aceddu arava
050.m4a,Poetry,a ttiempo che sguigliaje lo Sciatamone.,a tempo che sgocciolava lo Sciatamone.,a tempàs che sgocciolava lo Sciatamone.,a tempu ca sgocciolava lu Sciatamone.
051.m4a,Poetry,"Nc’era lo Rre Marruocco che s’armava,","C’era il Re Marruocco che si armava,","C’era il Re Marruocco che agh armava,","C’era lu Re Marruocco ca si armava,"
052.m4a,Poetry,"panzera, lanza longa e toracone,","panziera, lancia lunga e torace,","panziera, zagaja longa e torace,","panziera, lanza lunga e torace,"
053.m4a,Poetry,e po’ jeva a ttrovà li Mammalucche,e poi andava a trovare i Mammalucche,e poi andava a catär i Mammalucche,e poi andava a aççiari li Mammalucche
054.m4a,Poetry,"co balestre, spigarde, e co ttrabucche.","con balestre, spigarde, e con trabucchi.","cón balestre, spigarde, e cón trabucchi.","cu balestre, spigarde, e cu trabucchi."
055.m4a,Poetry,"Chillo fu tiempo che Berta filava,","Quello fu tempo che Berta filava,","Còll fu tempàs che Berta filava,","Ddu fu tempu ca Berta filava,"
056.m4a,Poetry,co chillo doce vivere a l’antica!,con quello dolce vivere all’antica!,cón còll intrigón zvivasär all’antica!,cu ddu duci campari all’antica!
057.m4a,Poetry,"Portave brache, e nullo delleggiava!","Portava brache, e nulla deleggiava!","Portava brache, e blìcter deleggiava!","Portava brache, e nulla deleggiava!"
058.m4a,Poetry,"Ogn’anno, il due novembre, c’è l’usanza per i defunti andare al Cimitero,","Ogni anno, il due novembre, c’è l’usanza per i defunti andare al Cimitero,","Ogni an, il dò novembor, c’è l’uzansa per i defunti andär a bisabóga al Simitéri,","Ogni annu, lu dù nuvèmmiru, c’è l’usanza pî defunti annari ô Campusantu,"
059.m4a,Poetry,"Si pe la via na femmena passava,","Se per la via una donna passava,","Se per la via ’n dònna passava,","Siddu pâ fia na mugghieri passava,"
060.m4a,Poetry,le dicevano: “Ddio la benedica!”.,le dicevano: “Dio la benedica!”.,il dicevano: “Creatôr la benedica!”.,li dicevano: “Deu a benedica!”.
061.m4a,Poetry,"Mo, s’uno parla, e chella se corruzza.","Ora, se uno parla, e quella si arrabbia.","Òra, se ’n parla, e còlla agh arrabbia.","Ora, siddu nu parla, e dda si arrabbia."
062.m4a,Poetry,Chi te pienze che ssia? Monna Maruzza.,Chi pensi che sia? Monna Maruzza.,Chi pensi che sia? Monna Maruzza.,Cu pensi ca sia? Monna Maruzza.
063.m4a,Poetry,"O bell’ausanza, e ddove si’ squagliata?","Oh bella usanza, e dove sei svanita?","Oibéla uzansa, e dòvva séz svanita?","Oh bedda usanza, e duvi sei svanita?"
064.m4a,Poetry,"Pecchè non tuorne, o doce tiempo antico?","Perché non torni, oh dolce tempo antico?","Parchè non torni, oh intrigón tempàs antigh?","Pirchì nun torni, oh duci tempu anticu?"
065.m4a,Poetry,"Pigliave co lo bisco, a na chiammata,","Prendeva con il bisco, a una chiamata,","Prendeva cón il bisco, a ’n chiamata,","Prendeva cû bisco, a na chiamata,"
066.m4a,Poetry,cient’aucelluzze a no trunco de fico!,cento uccellini a un tronco di fico!,sént uccellini a un cavas di figh!,centu uccellini a nu tronco di bìfara!
067.m4a,Poetry,"Le ffemmene, addorose de colata,","Le donne, addormentate di colata,","Il donne, addormentate di colata,","Li donni, addormentate di colata,"
068.m4a,Poetry,"Ma chi te cride d’essere, nu ddio? Cca dinto, ‘o vvuò capì ca simmo eguae?","Ma chi credi di essere, un dio? Qui dentro, vuoi capire che siamo uguali?","Ma chi credi di esor, un creatôr? Csichenchì dadèntor, vuoi capir che siamo uguali?","Ma cu credi di èssiri, nu deu? Ccà ndi, vuoi capìri ca siamo uguali?"
069.m4a,Poetry,"danzanno tutte ‘n chietta, (oh bona fede!)","danzando tutte in fila, (oh buona fede!)","danzando tutte in fila, (oh bón’na féda!)","danzando tutti ndi ringu, (oh bona fidizzia!)"
070.m4a,Poetry,"Madonna, si ce penzo che paura! ma po’ facett’ un’anema ‘e curaggio","Madonna, se ci penso che paura! ma poi facevi un’anima di coraggio","Madònna, se agh penso che fifa! ma poi facevi un’alma di corag’","Madonna, siddu cci penso ca assumbru! ma poi facevi nu’arma di curaggiu"
071.m4a,Poetry,Dove se trova mai tanta lianza!,Dove si trova mai tanta alleanza!,Dòvva agh trova mäi tanta alleanza!,Duvi si trova mai tanta alleanza!
072.m4a,Poetry,"Lo marito sì ccaro a la mogliera,","Il marito sì caro alla moglie,","Il marí sì carinón a la mojéra,","Lu maritu sini caru â moglie,"
073.m4a,Poetry,che a mano a mano ‘ntravano a na danza,che a mano a mano entravano in una danza,che a man a man entravano in ’n danza,ca a manu a manu entravano ndi na danza
074.m4a,Poetry,co chella ciaramella tant’allera!,con quella ciaramella tanto allegra!,cón còlla ciaramella tant allegra!,cu dda ciaramedda tantu allegra!
075.m4a,Poetry,"Vedive, a chioppa a chioppa, na paranza","Vedete, a poco a poco, una paranza","Vedete, a zbrizlén a zbrizlén, ’n paranza","Vedete, addesi, na paranza"
076.m4a,Poetry,co chell’antica e semprece manera!,con quella antica e sempre la stessa maniera!,cón còlla antica e sémpor la stessa maniera!,cu dda antica e sempri a stissa dècatu!
077.m4a,Poetry,"Lo viecchio a chillo tiempo era zitiello,","Il vecchio a quel tempo era zitello,","Il véc’ a quel tempàs era zitello,","Lu vecchio a ddu tempu era zitello,"
078.m4a,Poetry,co le brache stringate e ‘n jopponciello.,con le brache strette e un giubbetto.,cón il brache strette e un giubètt.,chî brache stritti e nu matalottu.
079.m4a,Poetry,Chillo non era tiempo ammagagnato!,Quello non era tempo ingannato!,Còll non era tempàs ingannato!,Ddu nun era tempu ingannato!
080.m4a,Poetry,"Le ffemmene assettate mmiezo chiazza,","Le donne sedute in mezzo piazza,","Il donne sedute daméz piasa,","Li donni sedute ndi menzu chiazza,"
081.m4a,Poetry,"non c’era n’ommo ch’avesse parlato,","non c’era un uomo che avesse parlato,","non c’era un bonòmm che avesse parlato,","nun c’era nu omu ca avesse parlato,"
082.m4a,Poetry,ca vernava ‘n cajola la cajazza.,che portava una cazzuola alla cazza.,che portava ’n casôla a la cazza.,ca portava na cazzuola â cazza.
083.m4a,Poetry,era tenuto pe gallo de razza.,Era tenuto per gallo di razza.,Era tenuto per ciarètt di rasa.,Era tenuto pi addu di inìa.
084.m4a,Poetry,Ll’uno co ll’autro lo mostrav’a dito:,L’uno con l’altro lo mostrava a dito:,L’’n cón l’ätor lo mostrava a dìd:,L’nu cu l’antru lu mostrava a ìritu:
085.m4a,Poetry,"“Chillo che passa mo, chill’è lo zito!”","“Quello che passa ora, quello è lo sposo!”","“Còll che passa òra, còll è lo spôz!”","“Ddu ca passa ora, ddu è lu maritu!”"
086.m4a,Poetry,Tutte le bon’ausanze so’ lassate!,Tutte le buone usanze sono lasciate!,Tutte il buone usanze sono lasciate!,Tutti li puliti usanze sono lasciate!
087.m4a,Poetry,Le rose mo deventano papagne!,Le rose ora diventano panni!,Il rose òra diventano pàgn!,Li rosi ora diventano panni!
088.m4a,Poetry,"Lo vicenato, ‘n chietta e ‘n lebertate,","Il vicinato, in fila e in libertà,","Il vicinato, in fila e in libartä,","Lu vicinatu, ndi ringu e ndi libbirtati,"
089.m4a,Poetry,"a chillo tiempo jevano a li vagne,","a quel tempo andava alle bagni,","a quel tempàs andava al bagni,","a ddu tempu andava ê bagni,"
090.m4a,Poetry,Pecché ‘ncopp’a sta terra femmene comme a te non ce hanna sta pé n’ommo onesto comme a me!…,Perché su questa terra donne come te non devono esserci per un uomo onesto come me!...,Parchè su còsta téra donne cme te non devono esserci per un bonòmm onesto cme am!...,Pirchì cadà chista terra donni comu te nun devono esserci pi nu omu onestu comu mìa!...
091.m4a,Poetry,Si ddoce comme ‘o zucchero,Sei dolce come lo zucchero,Séz intrigón cme lo sùccor,Sei duci comu lu zùccaru
092.m4a,Poetry,"E ghievano abbracciate a otto, a diece,","E venivano abbracciate a otto, a dieci,","E venivano abbracciate a òt, a déz,","E venivano abbracciate a otto, a deci,"
093.m4a,Poetry,cchiù ghianche e rosse che le mmela-diece,più bianche e rosse che le mele-dieci,pu bianche e rosse che il mele-déz,cchiù bianche e rosse ca li puma-deci
094.m4a,Poetry,Chella co la gonnella de scarlata,Quella con la gonnellina di scarlatto,Còlla cón la gonnellina di scarlatto,Dda câ gonnellina di scarlatto
095.m4a,Poetry,portava perne grosse comm’antrita.,portava gambe grosse come antriti.,portava furli grosse cme antriti.,portava jammi grosse comu antriti.
096.m4a,Blog,O Puorto 'e Napule è nu puorto mpizzato int''o Gurfo 'e Napule ca se spanne int''a custiera d''a cità 'e Napule.,Il Porto di Napoli è un porto situato nel Golfo di Napoli che si estende nella costa della città di Napoli.,Il Porto di Napoli è un porto situato nel Golfo di Napoli che agh estende nella costajôla della sitä di Napoli.,Lu Portu di Napoli è nu portu situato nnô Golfo di Napoli ca si estende nnâ costa dâ citati di Napoli.
097.m4a,Blog,È uno d''e cchiù mpurtanti puorte d'Europa.​,È uno dei porti più importanti d'Europa.​,È ’n di porti pu importanti d'Europa.​,È nu dî porti cchiù importanti d'Auropa.​
098.m4a,Blog,Melito 'e Napule (ditto Mêlito d''a ggente) è nu comune 'e 38.062 crestiane d''a pruvincia 'e Napule.,Melito di Napoli (detto Mêlito dalla gente) è un comune di 38.062 cristiani della provincia di Napoli.,Melito di Napoli (detto Mêlito dalla génta) è un cmón di 38.062 cristiani della provincia di Napoli.,Melito di Napoli (detto Mêlito dâ genti) è nu cumuni di 38.062 cristiani dâ pruvincia di Napoli.
099.m4a,Blog,"O Regno 'e Napule (nomme ufficiale: Regno 'e Sicilia citeriore) è 'o nomme cu cui è canusciuto nu stato indipendente, ca esisteva tra 'o XIII e 'o XIX seculo e ca currispunneva a ll'attuale reggione 'e ll'Italia meridiunale, 'ncluse Abruzzo e parte d""o Lazzio, ma cca lassava fore 'a Sicilia","Il Regno di Napoli (nome ufficiale: Regno di Sicilia Citeriore) è il nome con cui è conosciuto uno stato indipendente, esistito tra il XIII e il XIX secolo e che corrispondeva all'attuale regione dell'Italia meridionale, incluse Abruzzo e parte del Lazio, ma escludeva la Sicilia.","Il Regno di Napoli (nòmm ufficiale: Regno di Sicilia Citeriore) è il nòmm cón cui è cognsù ’n stato indipendente, esistito tra il XIII e il XIX secolo e che corrispondeva all'attuale regione dell'Italia meridionale, incluse Abruzzo e pärta del Lazio, ma escludeva la Sicilia.","Lu Regno di Napoli (nomu officiali: Regno di Sicilia Citeriore) è lu nomu cu cui è canusciutu nu stato indipendente, esistito ntra lu XIII e lu XIX sèculu e ca corrispondeva all'attuale regione dell'Italia miridiunali, incluse Abruzzo e parzami dû Lazio, ma escludeva a Sicilia."
100.m4a,Blog,"O gurfo 'e Napule è na 'nzenatura d''o Mar Tirreno meriddionale, cumprèsce 'nfra 'a penisula flegrea a nord-ovest (capo Miseno) e 'a penisula surrientina a sud-est (punta Campanella)","Il golfo di Napoli è un‘insenatura del Mar Tirreno meridionale, compresa tra la penisola flegrea a nord-ovest (capo Miseno) e la penisola sorrentina a sud-est (punta Campanella).","Il golfo di Napoli è un‘insenatura del Mar Tirreno meridionale, compresa tra la penisola flegrea a nord-ovest (copè Miseno) e la penisola sorrentina a sud-est (pónta Campanéla).","Lu golfo di Napoli è nu‘insenatura dû Mar Tirreno miridiunali, compresa ntra a penisola flegrea a nord-occidenti (capu Miseno) e a penisola sorrentina a sud-orienti (punta Campanella)."
101.m4a,Blog,A Zona Nnustriale (o Gianturco) è nu rione 'e 6082 crestiani d''a part' 'e levante 'e Napule.,La Zona Industriale (o Gianturco) è un rione di 6082 cristiani nella parte est di Napoli.,La Zona Industriale (o Gianturco) è un rione di 6082 cristiani nella pärta est di Napoli.,A Ària Industriale (o Gianturco) è nu rione di 6082 cristiani nnâ parzami orienti di Napoli.
102.m4a,Blog,O nomme Gianturco vene d''a via prencepale d''o rione: via Emanuele Gianturco.​,Il nome Gianturco viene dalla via principale del rione: via Emanuele Gianturco.​,Il nòmm Gianturco viene dalla via prinsipäl del rione: via Emanuele Gianturco.​,Lu nomu Gianturco viene dâ dromu dû rione: fia Emanuele Gianturco.​
103.m4a,Blog,Tutte 'e cristiane nasceno libbere e pare pe degnetà e jusse; teneno cereviello e cuscienza e hanno 'a faticà ll'une cu ll'ate cu nu spireto 'e fraternetà.​,Tutte le persone nascono libere e pari per dignità e diritti; hanno cervello e coscienza e devono lavorare l’uno con l’altro con uno spirito di fraternità.​,Tutte il persone nascono libere e päri per dignità e diritti; hanno sarvél e coscénsia e devono zlavorasär l’’n cón l’ätor cón ’n spirito di fraternità.​,Tutti li persone nascono libere e paraggiu pi dignità e diritti; hanno ciriveddu e cuscenza e devono travagghiari l’nu cu l’antru cu nu spìritu di fraternità.​
104.m4a,Blog,"O nnapulitano è na lengua rumanza ca se parla 'n Campania e all'ate parte d""o Sud-Italia.",Il napoletano è una lingua romanica che si parla in Campania e in altre parti del Sud Italia.,Il napoletano è ’n lengua romanica che agh parla in Campania e in altre parti del Sud Italia.,Lu napulitanu è na rumànica ca si parla ndi Campania e ndi altre parti dû Sud Italia.
105.m4a,Blog,"Soletamente, però, so' cchiammate accussí tutt' 'e dialette ca se parlano ô Sud cuntinentale (Campania, Abruzzo, Lucania, nord d'a Calavrea, nord d'a Puglia, Molise, sudd d""o Lazzio e na pparte d""e Marche) e parlate ca se ntenneno ll'une cu ll'ate e teneno cierte rréole símmele.","Solitamente, però, così sono chiamati tutti i dialetti che si parlano nel Sud continentale (Campania, Abruzzo, Lucania, nord della Calabria, nord della Puglia, Molise, sud del Lazio e una parte delle Marche) e parlate che si capiscono tra loro e hanno certe regole simili.","Solitamente, però, acsí sono chiamati tutti i dialetti che agh parlano nel Sud continentale (Campania, Abruzzo, Lucania, nord della Calabria, nord della Puglia, Molise, sud del Lazio e ’n pärta dil Marche) e parlate che agh capiscono tra agh e hanno certe regole simili.","Solitamente, però, accussì sono chiamati tutti li parlati ca si parlano nnô Sud continentale (Campania, Abruzzo, Lucania, nord dâ Calabbria, nord dâ Puglia, Molise, sud dû Lazio e na parzami dî Marche) e parlati ca si capiscono ntra iddi e hanno certe regole simili."
106.m4a,Blog,"Chesta idea nun è 'a stessa pe tutte 'e lenguiste; cierte diceno mméce ca, cu tutte 'e ddifferenze ca ce stanno nfra chisti dialette e p' 'o fatto ca nun ce sta nisciuna standardizzazione, nun se pô parlà 'e na ""lengua napulitana"" e parlano mméce 'e nu cuntinuo 'e ""dialette taliane meridiunale ntermedie"".","Questa idea non è la stessa per tutti i linguisti; alcuni dicono invece che, con tutte le differenze che ci sono tra questi dialetti e per il fatto che non esiste nessuna standardizzazione, non si può parlare di una ""lingua napoletana"" e parlano invece di un continuum di ""dialetti italiani meridionali intermedi"".","Còsta idea non è la stessa per tutti i linguisti; alcuni dicono invési che, cón tutte il differenze che agh sono tra questi dialetti e per il fat che non esiste nessuna standardizzazione, non agh può squaquarär di ’n ""lengua napoletana"" e parlano invési di un continuum di ""dialetti italiani meridionali intermedi"".","Chista idea nun è a stissa pi tutti li linguisti; alcuni dicono invece ca, cu tutti li differenze ca cci sono ntra chisti parlati e pû fattu ca nun esiste nessuna standardizzazione, nun si può parrari di na ""napulitanu"" e parlano mmeci di nu continuum di ""parlati taliani meridionali intermedi""."
107.m4a,Blog,O Nnapulitano è na lengua o nu dialetto?,Il Napoletano è una lingua o un dialetto?,Il Napoletano è ’n lengua o un dialètt?,Lu Napulitanu è na lingua o nu parrata?
108.m4a,Blog,Chi 'o pparla e addò?​,Chi la parla e dove?​,Chi la parla e dòvva?​,Cu a parla e duvi?​
109.m4a,Blog,"E ancora, quanno s'avess' 'a parlà Taliano e quanno 'o dialetto?​","E ancora, quando si dovrebbe parlare Italiano e quando il dialetto?​","E ancòrra, quand agh dovrebbe squaquarär Talian e quand il dialètt?​","E àncura, quannu si dovrebbe parrari Talianu e quannu lu parrata?​"
110.m4a,Blog,Nun ce sta periculo ca 'stu fatto succede a Napule.​,Non c’è pericolo che questo succeda a Napoli.​,Non c’è perìccol che còst succeda a Napoli.​,Nun c’è pirìculu ca chistu succeda a Napoli.​
111.m4a,Blog,"O fatto è ca ê ffamiglie e ê putecare, pe Napule e 'e pizze vicine, lle piace 'e cchiù 'e parlà Nnapulitano, 'a lengua antica d''o Rregno d''e Ddoje Secilie.","Il fatto è che alle famiglie e ai negozianti, per Napoli e le città vicine, piace di più parlare napoletano, la lingua antica del Regno delle Due Sicilie.","Il fat è che al famiglie e ai negozianti, per Napoli e il sitä vicine, piace davans squaquarär napoletano, la lengua antica del Regno dil Dò Sicilie.","Lu fattu è ca ê famiglie e ê negozianti, pi Napoli e li citati vicine, piace pirrimpimpìu parrari napulitanu, a lingua antica dû Regno dî Dù Sicilie."
112.m4a,Blog,"Museciste e judece, chianchiere e barriste sciuliéano assaje spisso int''o ddialetto lucale.","Musiciste e giudici, chiacchieroni e baristi sbuzzicano molto spesso il dialetto locale.","Musiciste e giudici, chiacchieroni e baristi sbuzzicano abòtta despèss il dialètt locale.","Musiciste e giudici, chiacchieroni e baristi sbuzzicano tantu spesso lu parrata lucali."
