ruolo,aggettivo,Q,p_value,significant,n_frasi,prop_italiano,prop_napoletano,prop_parmigiano,prop_siciliano
uomo di paese,educata,9.592,0.02238,True,141,0.121,0.085,0.064,0.05
uomo di paese,divertente,8.733,0.03305,True,141,0.0,0.057,0.028,0.035
uomo di paese,rumorosa,5.71,0.12662,False,141,0.014,0.043,0.007,0.014
uomo di paese,colta,4.615,0.20223,False,141,0.021,0.043,0.028,0.05
uomo di paese,ritardataria,4.263,0.23441,False,141,0.007,0.007,0.007,0.028
uomo di paese,pia,4.0,0.26146,False,141,0.014,0.028,0.014,0.0
uomo di paese,sensibile,3.169,0.36629,False,141,0.035,0.078,0.057,0.05
uomo di paese,pulita,3.0,0.39163,False,141,0.0,0.007,0.0,0.0
uomo di paese,fredda,3.0,0.39163,False,141,0.007,0.0,0.0,0.0
uomo di paese,affettuosa,2.833,0.41804,False,141,0.113,0.121,0.085,0.121
uomo di paese,inesperta,2.241,0.52401,False,141,0.057,0.057,0.085,0.05
uomo di paese,maleducata,2.0,0.57241,False,141,0.05,0.035,0.057,0.043
uomo di paese,furba,1.588,0.66206,False,141,0.028,0.028,0.05,0.028
uomo di paese,onesta,0.333,0.95364,False,141,0.106,0.106,0.106,0.092
uomo di paese,sporca,,,False,141,0.0,0.0,0.0,0.0
uomo di paese,noiosa,,,False,141,0.0,0.0,0.0,0.0
uomo di paese corto,precisa,19.088,0.00026,True,141,0.057,0.149,0.035,0.078
uomo di paese corto,divertente,9.27,0.02591,True,141,0.035,0.106,0.106,0.071
uomo di paese corto,furba,8.844,0.03144,True,141,0.021,0.078,0.028,0.078
uomo di paese corto,sensibile,8.103,0.04392,True,141,0.121,0.128,0.064,0.078
uomo di paese corto,maleducata,7.875,0.04867,True,141,0.064,0.043,0.021,0.028
uomo di paese corto,ritardataria,3.6,0.30802,False,141,0.007,0.028,0.007,0.028
uomo di paese corto,noiosa,3.0,0.39163,False,141,0.007,0.0,0.0,0.007
uomo di paese corto,colta,2.538,0.46838,False,141,0.05,0.064,0.035,0.035
uomo di paese corto,inesperta,2.429,0.48834,False,141,0.064,0.028,0.043,0.043
uomo di paese corto,affettuosa,2.184,0.53501,False,141,0.128,0.128,0.128,0.163
uomo di paese corto,educata,2.167,0.53854,False,141,0.092,0.078,0.057,0.071
uomo di paese corto,rumorosa,1.714,0.63376,False,141,0.043,0.028,0.021,0.021
uomo di paese corto,onesta,1.567,0.66686,False,141,0.071,0.085,0.057,0.078
uomo di paese corto,pia,1.2,0.753,False,141,0.007,0.014,0.014,0.007
uomo di paese corto,fredda,0.692,0.87501,False,141,0.014,0.007,0.014,0.014
uomo di paese corto,sporca,,,False,141,0.0,0.0,0.0,0.0
uomo di paese corto,pulita,,,False,141,0.0,0.0,0.0,0.0
