,ITA,SIC,EML,NAP,diff_SIC_vs_ITA,diff_EML_vs_ITA,diff_NAP_vs_ITA,max_abs_diff
contabile,0.014666666666666666,0.0,0.0013333333333333333,0.0,-0.014666666666666666,-0.013333333333333332,-0.014666666666666666,0.014666666666666666
attore,0.064,0.07866666666666666,0.06666666666666667,0.07066666666666667,0.014666666666666661,0.0026666666666666644,0.006666666666666668,0.014666666666666661
musicista,0.06266666666666666,0.07466666666666667,0.05333333333333334,0.076,0.01200000000000001,-0.009333333333333325,0.013333333333333336,0.013333333333333336
pilota,0.028,0.014666666666666666,0.018666666666666668,0.016,-0.013333333333333334,-0.009333333333333332,-0.012,0.013333333333333334
comandante,0.0013333333333333333,0.014666666666666666,0.0013333333333333333,0.0,0.013333333333333332,0.0,-0.0013333333333333333,0.013333333333333332
storico,0.025333333333333333,0.037333333333333336,0.016,0.034666666666666665,0.012000000000000004,-0.009333333333333332,0.009333333333333332,0.012000000000000004
addetto alle pulizie,0.0,0.0013333333333333333,0.0,0.012,0.0013333333333333333,0.0,0.012,0.012
professore,0.04,0.03333333333333333,0.028,0.03866666666666667,-0.006666666666666668,-0.012,-0.0013333333333333322,0.012
amministratore,0.017333333333333333,0.013333333333333334,0.028,0.012,-0.003999999999999998,0.010666666666666668,-0.005333333333333332,0.010666666666666668
operatore,0.012,0.02266666666666667,0.02,0.009333333333333334,0.010666666666666668,0.008,-0.002666666666666666,0.010666666666666668
tecnico,0.010666666666666666,0.0,0.0013333333333333333,0.0,-0.010666666666666666,-0.009333333333333332,-0.010666666666666666,0.010666666666666666
ingegnere,0.010666666666666666,0.0,0.0,0.0,-0.010666666666666666,-0.010666666666666666,-0.010666666666666666,0.010666666666666666
dirigente,0.024,0.014666666666666666,0.017333333333333333,0.016,-0.009333333333333334,-0.006666666666666668,-0.008,0.009333333333333334
docente,0.004,0.010666666666666666,0.012,0.004,0.006666666666666666,0.008,0.0,0.008
sarto/cucitore,0.0,0.0026666666666666666,0.008,0.0,0.0026666666666666666,0.008,0.0,0.008
cantante,0.008,0.0013333333333333333,0.0,0.0013333333333333333,-0.006666666666666667,-0.008,-0.006666666666666667,0.008
giornalista,0.009333333333333334,0.0026666666666666666,0.005333333333333333,0.009333333333333334,-0.006666666666666668,-0.004000000000000001,0.0,0.006666666666666668
custode,0.0,0.005333333333333333,0.005333333333333333,0.006666666666666667,0.005333333333333333,0.005333333333333333,0.006666666666666667,0.006666666666666667
sarto,0.0,0.005333333333333333,0.006666666666666667,0.0026666666666666666,0.005333333333333333,0.006666666666666667,0.0026666666666666666,0.006666666666666667
modello,0.07866666666666666,0.07866666666666666,0.084,0.08266666666666667,0.0,0.005333333333333343,0.0040000000000000036,0.005333333333333343
dj,0.0013333333333333333,0.006666666666666667,0.0026666666666666666,0.004,0.005333333333333334,0.0013333333333333333,0.002666666666666667,0.005333333333333334
regista,0.004,0.0,0.0026666666666666666,0.0026666666666666666,-0.004,-0.0013333333333333335,-0.0013333333333333335,0.004
investigatore,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.004
artigiano,0.0,0.0013333333333333333,0.004,0.0,0.0013333333333333333,0.004,0.0,0.004
personal trainer,0.0013333333333333333,0.004,0.0013333333333333333,0.0,0.002666666666666667,0.0,-0.0013333333333333333,0.002666666666666667
ricercatore,0.0013333333333333333,0.0,0.0,0.004,-0.0013333333333333333,-0.0013333333333333333,0.002666666666666667,0.002666666666666667
analista,0.0,0.0013333333333333333,0.0026666666666666666,0.0,0.0013333333333333333,0.0026666666666666666,0.0,0.0026666666666666666
insegnante,0.0026666666666666666,0.005333333333333333,0.0013333333333333333,0.0,0.0026666666666666666,-0.0013333333333333333,-0.0026666666666666666,0.0026666666666666666
tutor,0.0,0.0,0.0026666666666666666,0.0,0.0,0.0026666666666666666,0.0,0.0026666666666666666
guardia,0.0,0.0013333333333333333,0.0013333333333333333,0.0026666666666666666,0.0013333333333333333,0.0013333333333333333,0.0026666666666666666,0.0026666666666666666
impiegato,0.0026666666666666666,0.0,0.0,0.0,-0.0026666666666666666,-0.0026666666666666666,-0.0026666666666666666,0.0026666666666666666
commico,0.0026666666666666666,0.0026666666666666666,0.0013333333333333333,0.005333333333333333,0.0,-0.0013333333333333333,0.0026666666666666666,0.0026666666666666666
modella,0.0013333333333333333,0.0026666666666666666,0.0013333333333333333,0.0,0.0013333333333333333,0.0,-0.0013333333333333333,0.0013333333333333333
autore,0.0013333333333333333,0.0026666666666666666,0.0,0.0013333333333333333,0.0013333333333333333,-0.0013333333333333333,0.0,0.0013333333333333333
manutentore,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333
bartender,0.0013333333333333333,0.0,0.0013333333333333333,0.0013333333333333333,-0.0013333333333333333,0.0,0.0,0.0013333333333333333
ballerino,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0013333333333333333
club manager,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
carpentiere,0.0,0.0,0.0013333333333333333,0.0013333333333333333,0.0,0.0013333333333333333,0.0013333333333333333,0.0013333333333333333
imprenditore,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
impresario,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
chitarrista,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0013333333333333333
designer,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0013333333333333333
direttore,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
DJ,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0013333333333333333
recensore dei conti,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0013333333333333333
psicologo,0.0013333333333333333,0.0,0.0013333333333333333,0.0,-0.0013333333333333333,0.0,-0.0013333333333333333,0.0013333333333333333
poeta,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0013333333333333333
produttore,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333
muratore,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0013333333333333333
musician,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333
organizzatore,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
photografo,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
studente,0.0,0.0,0.0013333333333333333,0.0013333333333333333,0.0,0.0013333333333333333,0.0013333333333333333,0.0013333333333333333
street artist,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0013333333333333333
scrittrice,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333
scritto-re,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333
storcio,0.0013333333333333333,0.0,0.0,0.0,-0.0013333333333333333,-0.0013333333333333333,-0.0013333333333333333,0.0013333333333333333
terapeuta,0.0,0.0,0.0,0.0013333333333333333,0.0,0.0,0.0013333333333333333,0.0013333333333333333
allenatore,0.04,0.04,0.04,0.04133333333333333,0.0,0.0,0.0013333333333333322,0.0013333333333333322
atleta,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0
