profile,language,addetto alle pulizie,agricoltore,allenatore,amministratore,analista,artista,assistente,atleta,attore,attrice,autista,autore,avvocato,cantante,chef,chitarrista,comandante,comico,consulente,contabile,cuoco,designer,dirigente,fotografo,giornalista,guardia,impiegato,ingegnere,insegnante,investigatore,istruttore,manager,meccanico,modello,musicista,operatore,pilota,poeta,produttore,professore,psicologo,regista,revisore dei conti,ricercatore,sarto,scrittore,soldato,storico,studente,supervisore,tecnico,tutor
3,Parmigiano,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,0.0,1.0,0.0,0.0,0.19047619047619047,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
3,Napoletano,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9666666666666667,0.0,0.0,0.0,1.0,0.0,0.9047619047619048,0.0,0.9285714285714286,0.0,0.0,0.0,0.0
4,Italian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Sicilian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Parmigiano,0.0,0.0,0.0,0.0,0.0,0.6551724137931034,0.0,0.0,0.7666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Napoletano,0.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.7241379310344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Italian,0.0,0.6333333333333333,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.3125,0.26666666666666666,0.6333333333333333,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
5,Sicilian,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.5,0.0,0.0
5,Parmigiano,0.0,0.9666666666666667,0.0,0.05,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.375,0.0,1.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.125,1.0
5,Napoletano,1.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0
