Language,Original_Row,Coscienzioso_Raw,Coscienzioso_Refined,Mentalita_aperta_Raw,Mentalita_aperta_Refined,Amichevole_Raw,Amichevole_Refined,Urbano_Raw,Urbano_Refined,Calmo_Raw,Calmo_Refined,Istruito_Raw,Istruito_Refined
Siciliano,6,2,2,2,2,3,3,1,1,3,3,1,2
Napoletano,7,1,1,1,1,2,1,1,1,1,1,1,1
Italiano (Auto),7,1,1,1,1,1,1,3,3,1,1,2,2
Parmigiano,7,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,7,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,8,3,3,3,3,3,3,2,3,4,4,2,3
Italiano (Auto),8,3,3,2,2,3,3,2,2,4,4,2,3
Parmigiano,8,4,4,2,2,3,3,1,2,4,4,2,3
Siciliano,8,3,3,2,2,3,3,1,1,4,4,1,3
Napoletano,9,1,1,1,1,2,2,1,1,4,4,1,2
Italiano (Auto),9,2,2,2,2,1,1,3,3,2,2,2,2
Parmigiano,9,2,2,2,2,2,2,1,2,3,3,2,2
Siciliano,9,2,2,2,2,2,2,1,2,3,3,1,2
Napoletano,10,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),10,2,2,2,2,1,1,3,3,2,2,2,2
Parmigiano,10,2,2,2,2,3,3,1,1,2,2,1,2
Siciliano,10,1,2,1,2,2,3,1,2,2,3,1,2
Napoletano,11,2,2,3,3,4,4,2,3,4,4,2,3
Italiano (Auto),11,3,3,2,2,3,3,2,2,3,3,2,2
Parmigiano,11,1,3,2,3,3,3,1,2,3,3,1,3
Siciliano,11,2,2,2,2,3,3,1,2,4,4,1,2
Napoletano,12,1,3,1,3,3,4,1,1,4,4,1,3
Italiano (Auto),12,2,2,2,2,3,3,2,2,3,3,2,2
Parmigiano,12,2,3,3,3,4,4,2,3,4,4,2,3
Siciliano,12,1,2,2,3,3,3,1,2,3,3,2,2
Napoletano,13,1,1,1,1,3,3,1,1,3,3,1,3
Italiano (Auto),13,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,13,1,1,2,2,2,2,1,1,3,3,1,2
Siciliano,13,1,1,2,2,3,3,1,2,3,3,1,2
Napoletano,14,2,2,2,2,2,2,1,1,3,3,1,2
Italiano (Auto),14,2,2,2,2,1,1,2,2,2,2,2,2
Parmigiano,14,1,1,2,2,1,2,1,1,2,2,1,2
Siciliano,14,2,2,2,2,2,2,1,1,3,3,1,2
Napoletano,15,1,1,1,1,2,2,1,1,3,3,1,1
Italiano (Auto),15,2,2,3,3,3,3,3,3,4,4,2,2
Parmigiano,15,1,1,2,2,3,3,1,1,4,4,1,2
Siciliano,15,2,2,3,3,3,3,2,2,3,3,2,3
Napoletano,16,2,2,3,3,4,4,1,2,3,3,2,3
Italiano (Auto),16,3,3,3,3,3,3,3,3,3,3,3,3
Parmigiano,16,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,16,2,2,3,3,4,4,1,3,4,4,2,3
Napoletano,17,2,2,2,2,3,3,2,3,3,3,2,3
Italiano (Auto),17,2,2,2,2,2,2,3,3,3,3,2,3
Parmigiano,17,2,3,2,3,3,3,1,2,4,4,1,2
Siciliano,17,2,2,2,2,3,3,1,1,3,3,2,2
Napoletano,18,2,3,2,3,3,3,2,3,3,3,2,3
Italiano (Auto),18,3,3,2,2,3,3,3,3,4,4,3,3
Parmigiano,18,2,3,2,3,3,3,2,3,3,3,2,3
Siciliano,18,2,2,2,2,3,3,1,1,3,3,1,2
Napoletano,19,1,3,1,3,3,3,1,3,3,3,1,3
Italiano (Auto),19,2,2,2,2,1,1,3,3,2,2,3,3
Parmigiano,19,2,2,2,2,3,3,2,2,3,3,2,2
Siciliano,19,2,2,2,2,2,2,1,2,2,2,2,2
Napoletano,20,2,2,2,2,3,3,1,2,4,4,2,3
Italiano (Auto),20,2,2,1,1,1,1,3,3,1,1,2,2
Parmigiano,20,2,2,2,2,2,2,1,2,2,2,1,2
Siciliano,20,1,1,1,1,1,1,1,1,3,3,2,2
Napoletano,21,1,2,2,2,2,2,1,2,3,3,1,2
Italiano (Auto),21,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,21,1,1,1,1,1,1,1,1,3,3,1,3
Siciliano,21,1,3,1,3,1,3,1,3,1,3,1,3
Napoletano,22,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),22,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,22,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,22,1,1,1,1,1,1,3,1,1,1,1,1
Napoletano,23,2,2,2,2,1,1,1,1,1,2,2,2
Italiano (Auto),23,2,2,2,2,1,1,3,3,1,1,3,3
Parmigiano,23,1,1,1,1,1,1,3,2,1,1,3,2
Siciliano,23,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,24,1,2,1,2,1,2,1,2,2,2,1,2
Italiano (Auto),24,2,2,2,2,1,1,3,3,3,2,3,3
Parmigiano,24,1,3,2,3,2,3,1,2,3,3,1,3
Siciliano,24,2,2,2,2,1,1,1,1,2,2,2,2
Napoletano,25,2,2,2,2,3,3,1,2,3,3,2,3
Italiano (Auto),25,1,1,1,1,1,1,3,3,1,1,2,1
Parmigiano,25,3,3,3,3,4,4,2,2,4,4,2,3
Siciliano,25,2,2,2,2,2,2,2,2,2,2,2,2
Napoletano,26,1,3,3,3,4,4,1,2,3,3,2,3
Italiano (Auto),26,2,2,2,2,2,2,3,3,3,3,2,2
Parmigiano,26,1,3,1,3,1,3,1,3,3,3,1,3
Siciliano,26,2,2,3,3,4,4,1,1,5,5,1,3
Napoletano,27,2,2,2,2,3,3,2,2,3,3,2,2
Italiano (Auto),27,2,2,2,2,2,2,3,3,2,2,2,2
Parmigiano,27,2,2,2,2,2,2,2,2,2,2,2,2
Siciliano,27,2,2,2,2,2,2,1,1,2,2,1,2
Napoletano,28,1,1,1,1,1,1,2,2,1,1,2,1
Italiano (Auto),28,1,1,1,1,1,1,3,3,1,1,2,2
Parmigiano,28,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,28,1,1,1,1,1,1,1,1,1,0,1,1
Napoletano,29,2,2,2,2,3,3,1,2,1,2,1,2
Italiano (Auto),29,2,2,2,2,1,1,3,3,1,1,2,2
Parmigiano,29,2,2,2,2,3,3,1,2,2,2,1,2
Siciliano,29,2,2,2,2,2,2,1,1,1,1,1,2
Napoletano,30,1,2,2,2,3,3,1,1,2,3,1,2
Italiano (Auto),30,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,30,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,30,1,2,2,3,3,3,1,2,2,2,1,2
Napoletano,31,1,1,1,1,2,2,1,1,2,2,1,1
Italiano (Auto),31,2,2,2,2,2,2,1,2,3,3,1,2
Parmigiano,31,1,2,2,2,2,2,1,2,3,3,1,2
Siciliano,31,2,2,2,2,3,3,2,2,4,4,2,3
Napoletano,32,1,3,2,3,3,4,1,2,4,4,1,3
Italiano (Auto),32,3,3,3,3,3,3,2,3,3,3,3,3
Parmigiano,32,2,2,3,3,3,3,1,2,3,3,2,3
Siciliano,32,2,2,3,3,3,3,1,1,3,3,1,3
Napoletano,33,1,1,2,2,2,2,2,1,2,2,1,1
Italiano (Auto),33,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,33,2,3,2,3,3,3,2,2,3,3,2,3
Siciliano,33,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,34,2,2,4,4,5,5,2,3,4,4,2,3
Italiano (Auto),34,3,3,4,4,5,5,3,3,5,5,3,3
Parmigiano,34,1,3,3,3,4,4,1,2,4,4,2,3
Siciliano,34,2,2,3,3,4,4,1,2,4,4,2,3
Napoletano,35,1,1,1,1,1,1,2,1,1,1,2,1
Italiano (Auto),35,1,1,1,1,1,1,3,3,1,1,3,1
Parmigiano,35,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,35,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,36,2,2,2,2,2,2,2,2,3,3,2,3
Italiano (Auto),36,2,2,2,2,1,1,3,2,3,3,3,3
Parmigiano,36,2,2,2,2,2,2,3,3,2,2,2,3
Siciliano,36,2,2,2,2,2,2,1,1,3,3,1,2
Napoletano,37,1,2,1,2,1,2,1,2,2,2,1,2
Italiano (Auto),37,1,1,1,1,1,1,2,2,1,1,2,2
Parmigiano,37,1,1,1,1,1,1,1,1,5,5,1,1
Siciliano,37,1,1,1,1,1,1,1,1,2,2,1,1
Napoletano,38,2,2,2,2,3,3,1,2,3,3,2,3
Italiano (Auto),38,3,3,2,3,2,3,3,3,3,3,3,3
Parmigiano,38,2,2,2,2,3,3,1,2,3,3,2,3
Siciliano,38,2,2,2,2,3,3,1,1,4,4,2,2
Napoletano,39,1,2,2,2,2,2,1,2,1,2,1,2
Italiano (Auto),39,1,1,2,2,2,2,1,1,1,2,1,2
Parmigiano,39,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,39,1,1,1,1,2,2,1,1,1,1,1,2
Napoletano,40,1,1,1,1,2,2,1,1,3,3,1,2
Italiano (Auto),40,2,2,2,2,2,2,3,2,2,2,2,2
Parmigiano,40,1,1,2,2,2,2,1,2,3,3,2,3
Siciliano,40,1,2,2,3,3,3,1,2,3,3,1,2
Napoletano,41,1,2,2,2,2,2,1,1,3,3,1,2
Italiano (Auto),41,1,1,2,2,1,1,3,3,1,1,2,2
Parmigiano,41,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,41,1,1,1,1,3,3,1,1,2,2,1,1
Napoletano,42,2,2,2,2,3,3,1,2,4,4,2,3
Italiano (Auto),42,2,2,2,2,2,2,2,2,2,2,2,2
Parmigiano,42,2,2,3,3,3,3,1,2,3,3,2,3
Siciliano,42,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,43,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),43,2,2,2,2,3,3,2,2,3,3,2,3
Parmigiano,43,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,43,2,2,2,2,3,3,1,1,4,4,1,2
Napoletano,44,3,3,2,2,3,3,1,2,4,4,2,3
Italiano (Auto),44,2,2,3,3,3,3,3,3,4,4,3,3
Parmigiano,44,2,2,2,2,3,3,1,2,4,4,2,3
Siciliano,44,2,2,2,2,3,3,1,1,3,3,1,2
Napoletano,45,1,3,1,3,3,3,1,2,3,3,1,2
Italiano (Auto),45,2,2,2,2,3,3,1,2,3,3,1,2
Parmigiano,45,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,45,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,46,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),46,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,46,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,46,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,47,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),47,1,2,2,3,3,3,1,2,3,3,1,2
Parmigiano,47,1,2,1,2,3,3,1,2,3,3,1,2
Siciliano,47,2,3,2,3,3,3,1,2,3,3,1,2
Napoletano,48,1,2,2,2,2,2,1,2,2,2,1,2
Italiano (Auto),48,1,3,1,3,2,3,1,2,3,3,1,3
Parmigiano,48,2,2,2,2,3,3,1,1,4,4,1,2
Siciliano,48,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,49,1,2,2,2,2,2,1,2,2,2,1,2
Italiano (Auto),49,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,49,1,2,1,2,2,2,1,2,3,3,1,2
Siciliano,49,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,50,2,2,2,2,3,3,1,1,3,3,1,2
Italiano (Auto),50,2,2,2,2,2,2,1,1,3,3,1,1
Parmigiano,50,2,2,2,2,2,2,1,2,3,3,1,2
Siciliano,50,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,51,1,3,1,3,3,3,1,2,3,3,1,3
Italiano (Auto),51,2,2,3,3,3,3,1,2,3,3,2,3
Parmigiano,51,1,1,2,2,3,3,1,2,3,3,1,2
Siciliano,51,1,3,2,3,3,3,1,2,4,4,1,3
Napoletano,52,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),52,2,2,2,2,2,2,1,2,3,3,2,2
Parmigiano,52,2,2,2,2,2,2,1,1,3,3,2,2
Siciliano,52,2,2,2,2,3,3,1,1,3,3,1,2
Napoletano,53,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),53,3,3,2,2,3,3,1,2,3,3,2,3
Parmigiano,53,2,2,2,2,3,3,1,1,4,4,1,2
Siciliano,53,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,54,2,3,2,3,4,4,1,2,4,4,2,3
Italiano (Auto),54,2,2,2,2,3,3,1,1,4,4,2,2
Parmigiano,54,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,54,2,2,1,1,3,3,1,2,3,3,1,2
Napoletano,55,2,2,2,2,2,2,1,1,3,3,1,2
Italiano (Auto),55,5,5,3,3,3,3,2,3,3,3,3,3
Parmigiano,55,1,3,1,3,3,3,1,2,3,3,1,3
Siciliano,55,5,5,3,3,3,3,2,3,3,3,3,3
Napoletano,56,3,3,3,3,3,3,2,3,4,4,3,3
Italiano (Auto),56,3,3,2,2,3,3,2,2,4,4,2,2
Parmigiano,56,4,4,2,3,3,3,1,2,4,4,2,3
Siciliano,56,3,3,3,3,3,3,2,2,4,4,2,3
Napoletano,57,1,3,1,3,1,3,1,3,3,3,1,3
Italiano (Auto),57,3,3,2,3,2,3,2,2,3,3,2,3
Parmigiano,57,1,3,1,3,3,3,1,3,3,3,1,3
Siciliano,57,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,58,2,2,2,2,4,4,1,1,4,4,1,2
Italiano (Auto),58,3,3,3,3,4,4,2,2,4,4,2,3
Parmigiano,58,2,2,2,2,4,4,1,2,4,4,1,2
Siciliano,58,2,2,2,2,4,4,1,1,5,5,1,2
Napoletano,59,1,3,1,2,2,3,1,2,3,3,1,2
Italiano (Auto),59,2,2,2,2,2,2,3,3,1,2,3,3
Parmigiano,59,2,2,2,2,2,2,1,2,1,2,1,2
Siciliano,59,2,2,2,2,2,2,2,2,1,1,2,2
Napoletano,60,2,2,2,2,3,3,1,1,3,3,1,2
Italiano (Auto),60,2,3,2,3,3,3,2,3,3,3,2,3
Parmigiano,60,3,3,2,2,3,3,1,1,3,3,1,2
Siciliano,60,2,2,2,2,3,3,1,2,3,3,2,2
Napoletano,61,2,2,2,2,3,3,1,1,3,3,1,2
Italiano (Auto),61,2,2,2,2,4,4,2,2,4,4,2,3
Parmigiano,61,2,3,3,3,3,3,2,2,3,3,2,3
Siciliano,61,2,2,3,3,4,4,1,3,4,4,2,3
Napoletano,62,2,3,2,3,3,4,1,2,4,4,2,3
Italiano (Auto),62,3,3,3,3,4,4,2,3,5,5,3,3
Parmigiano,62,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,62,2,2,2,2,4,4,1,3,4,4,2,3
Napoletano,63,1,3,1,3,2,3,1,2,3,3,1,3
Italiano (Auto),63,1,2,1,2,2,3,1,2,3,3,1,2
Parmigiano,63,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,63,2,2,2,2,3,3,1,1,3,3,1,2
Napoletano,64,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),64,2,2,3,3,4,4,2,2,4,4,2,3
Parmigiano,64,1,1,2,2,3,3,1,1,3,3,1,1
Siciliano,64,1,2,1,2,2,2,1,1,4,4,1,2
Napoletano,65,1,3,2,3,3,3,1,2,3,3,1,3
Italiano (Auto),65,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,65,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,65,2,2,1,2,2,2,1,2,3,3,1,2
Napoletano,66,1,1,1,1,1,1,2,1,1,1,1,1
Italiano (Auto),66,1,1,1,1,1,1,3,3,1,1,2,1
Parmigiano,66,2,3,3,3,2,3,2,3,3,3,2,3
Siciliano,66,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,67,2,3,3,3,4,4,1,2,4,4,2,3
Italiano (Auto),67,3,3,3,3,4,4,2,3,4,4,2,3
Parmigiano,67,1,3,2,3,4,4,2,3,4,4,1,3
Siciliano,67,1,1,2,2,4,4,1,2,4,4,1,2
Napoletano,68,2,2,2,2,3,3,1,2,4,4,1,3
Italiano (Auto),68,2,2,3,3,4,4,2,2,4,4,2,3
Parmigiano,68,2,2,3,3,4,4,2,2,4,4,2,3
Siciliano,68,2,3,3,3,3,4,2,3,2,3,2,3
Napoletano,69,1,3,2,3,3,4,1,2,3,3,1,3
Italiano (Auto),69,1,1,2,2,5,5,3,3,4,4,2,3
Parmigiano,69,2,2,2,2,3,3,1,2,3,3,2,2
Siciliano,69,2,2,2,2,3,3,2,2,3,3,1,2
Napoletano,70,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),70,3,3,3,3,4,4,2,3,4,4,3,3
Parmigiano,70,2,2,3,3,5,5,1,3,4,4,2,3
Siciliano,70,3,3,3,3,4,4,2,3,4,4,2,3
Napoletano,71,2,2,2,2,3,3,1,2,4,4,1,2
Italiano (Auto),71,3,3,3,3,4,4,2,3,4,4,3,3
Parmigiano,71,2,3,3,3,4,4,1,2,4,4,2,3
Siciliano,71,1,2,2,2,3,3,1,2,3,3,1,2
Napoletano,72,1,3,2,3,4,4,1,2,3,3,1,2
Italiano (Auto),72,2,2,3,3,4,4,2,3,4,4,2,3
Parmigiano,72,2,2,3,3,4,4,1,2,4,4,2,3
Siciliano,72,2,2,3,3,5,5,1,2,4,4,2,3
Napoletano,73,1,2,1,2,3,3,1,2,3,3,1,2
Italiano (Auto),73,2,3,2,3,3,3,2,3,3,3,2,3
Parmigiano,73,1,3,1,3,3,3,1,2,3,3,1,3
Siciliano,73,1,3,1,3,2,3,1,2,3,3,1,3
Napoletano,74,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),74,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,74,2,2,1,1,2,2,1,2,3,3,1,2
Siciliano,74,2,2,1,1,2,2,1,2,2,2,1,2
Napoletano,75,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),75,2,2,2,2,2,2,1,2,3,3,1,2
Parmigiano,75,1,1,1,1,3,3,1,3,3,3,1,3
Siciliano,75,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,76,2,2,2,2,3,3,1,2,3,3,2,2
Italiano (Auto),76,1,2,2,2,2,2,2,2,3,3,2,2
Parmigiano,76,1,3,1,3,2,3,1,2,3,3,1,3
Siciliano,76,1,3,1,3,2,3,1,3,3,3,1,3
Napoletano,77,1,1,1,1,3,3,1,2,3,3,1,2
Italiano (Auto),77,2,3,2,3,2,3,2,3,3,3,2,3
Parmigiano,77,2,2,2,2,3,3,1,1,3,3,1,2
Siciliano,77,2,2,2,2,3,3,1,2,3,3,1,2
Napoletano,78,1,1,2,2,2,2,1,1,4,4,1,2
Italiano (Auto),78,1,1,1,1,1,1,1,1,5,5,1,1
Parmigiano,78,1,3,1,3,1,3,1,3,3,3,1,3
Siciliano,78,1,3,2,3,3,3,1,2,3,3,1,3
Napoletano,79,1,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),79,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,79,2,2,2,2,1,1,1,1,3,3,1,2
Siciliano,79,1,1,1,1,3,3,1,1,3,3,1,1
Napoletano,80,1,3,1,3,3,3,1,3,3,3,1,3
Italiano (Auto),80,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,80,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,80,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,81,1,1,1,1,1,1,1,1,1,1,1,1
Italiano (Auto),81,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,81,2,2,2,2,2,2,1,2,3,3,1,2
Siciliano,81,1,3,1,3,1,3,1,3,3,3,1,3
Napoletano,82,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),82,1,1,1,1,1,1,1,1,1,1,1,1
Parmigiano,82,1,3,1,3,1,3,1,2,1,3,1,3
Siciliano,82,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,83,2,2,2,2,3,3,2,3,3,3,2,3
Italiano (Auto),83,2,2,2,2,3,3,2,2,4,4,2,2
Parmigiano,83,1,3,1,2,4,4,1,2,3,3,1,3
Siciliano,83,2,2,2,2,3,3,1,1,4,4,2,2
Napoletano,84,1,1,2,2,2,2,1,1,1,1,1,2
Italiano (Auto),84,1,1,1,1,2,2,1,1,4,4,1,1
Parmigiano,84,2,2,2,2,2,2,2,2,3,3,2,2
Siciliano,84,1,3,1,3,1,3,1,3,3,3,1,3
Napoletano,85,1,3,2,3,3,4,2,2,3,3,1,3
Italiano (Auto),85,2,3,3,3,3,3,2,3,3,3,2,3
Parmigiano,85,1,1,1,1,3,3,1,1,3,3,1,3
Siciliano,85,1,1,1,1,1,1,1,1,1,1,1,1
Napoletano,86,2,2,2,2,3,3,1,2,4,4,1,2
Italiano (Auto),86,2,2,3,3,4,4,2,2,4,4,2,2
Parmigiano,86,2,3,3,3,3,3,2,3,3,3,2,3
Siciliano,86,2,2,2,2,3,3,1,2,3,3,2,3
Napoletano,87,2,2,2,2,3,3,1,2,3,3,1,2
Italiano (Auto),87,1,2,1,2,2,2,1,2,3,3,1,2
Parmigiano,87,1,1,1,1,2,2,1,1,3,3,1,2
Siciliano,87,1,2,2,2,2,2,1,2,3,3,1,2
Napoletano,88,1,3,1,2,1,2,1,2,1,2,1,2
Italiano (Auto),88,2,2,1,1,1,1,2,2,1,2,2,2
Parmigiano,88,1,1,1,1,1,1,2,1,1,1,1,1
Siciliano,88,2,2,1,1,2,2,1,1,2,2,2,2
Napoletano,89,3,3,3,3,4,4,2,3,4,4,2,3
Italiano (Auto),89,3,3,4,4,5,5,3,3,5,5,3,3
Parmigiano,89,1,3,1,3,2,3,1,2,3,3,1,3
Siciliano,89,2,2,2,2,3,3,1,2,4,4,1,2
Napoletano,90,2,2,2,2,4,4,1,2,4,4,1,2
Italiano (Auto),90,1,1,1,1,2,2,1,1,3,3,1,1
Parmigiano,90,2,3,3,3,4,4,2,3,4,4,2,3
Siciliano,90,2,2,2,2,3,3,2,2,3,3,2,2
Napoletano,91,1,3,1,3,2,3,1,2,3,3,1,3
Italiano (Auto),91,1,3,1,3,2,3,1,3,3,3,1,3
Parmigiano,91,1,1,1,1,1,1,1,1,3,3,1,1
Siciliano,91,1,3,1,3,3,3,1,3,3,3,1,3
Napoletano,92,2,3,2,3,3,3,1,2,3,3,1,3
Italiano (Auto),92,2,2,2,2,2,2,2,2,3,3,2,2
Parmigiano,92,2,2,2,2,3,3,1,2,3,3,2,2
Siciliano,92,1,3,1,3,1,3,1,3,5,5,1,3
Napoletano,93,1,2,2,2,2,2,1,1,3,3,1,2
Italiano (Auto),93,2,2,2,2,2,2,1,2,3,3,1,2
Parmigiano,93,1,1,1,1,1,1,1,1,1,1,1,1
Siciliano,93,1,3,2,3,2,3,1,2,3,3,1,3
Napoletano,94,3,3,2,2,3,3,4,4,4,4,2,3
Italiano (Auto),94,3,3,3,3,3,3,4,4,4,4,3,3
Parmigiano,94,3,3,3,3,3,3,4,4,4,4,2,3
Siciliano,94,3,3,3,3,3,3,3,3,4,4,3,3
Napoletano,95,3,3,3,3,3,3,2,3,3,3,2,3
Italiano (Auto),95,3,3,3,3,3,3,3,3,3,3,3,3
Parmigiano,95,2,2,2,2,3,3,1,2,3,3,1,2
Siciliano,95,2,2,2,2,3,3,3,3,3,3,1,2
Napoletano,96,3,3,2,3,3,3,2,3,3,3,2,3
Italiano (Auto),96,3,3,2,3,3,3,3,3,3,3,2,3
Parmigiano,96,3,3,2,3,3,3,2,3,3,3,2,3
Siciliano,96,3,3,2,3,3,3,3,3,3,3,2,3
Napoletano,97,4,4,3,3,3,3,2,3,4,4,4,4
Italiano (Auto),97,5,5,3,3,3,3,3,3,4,4,5,5
Parmigiano,97,4,4,3,3,3,3,2,3,4,4,4,4
Siciliano,97,4,4,3,3,3,3,2,3,4,4,4,4
Napoletano,98,3,3,3,3,3,3,2,3,4,4,3,4
Italiano (Auto),98,4,4,3,3,3,3,3,3,4,4,5,5
Parmigiano,98,4,4,3,3,3,3,3,3,4,4,4,4
Siciliano,98,4,4,3,3,3,3,2,3,4,4,4,4
Napoletano,99,2,3,2,3,3,3,3,3,3,3,2,3
Italiano (Auto),99,3,3,3,3,3,3,4,4,3,3,3,3
Parmigiano,99,3,3,2,2,3,3,3,3,4,4,3,3
Siciliano,99,3,3,2,2,3,3,4,4,3,3,2,3
Napoletano,100,2,2,2,2,3,3,4,4,3,3,2,3
Italiano (Auto),100,3,3,2,2,3,3,3,3,3,3,2,3
Parmigiano,100,3,3,2,2,3,3,3,3,3,3,2,3
Siciliano,100,3,3,2,2,3,3,2,2,3,3,3,3
Napoletano,101,4,4,5,5,5,5,2,3,4,4,3,4
Italiano (Auto),101,5,5,5,5,5,5,3,3,5,5,5,5
Parmigiano,101,5,5,4,4,5,5,3,3,5,5,4,5
Siciliano,101,4,4,5,5,5,5,2,3,5,5,3,4
Napoletano,102,3,3,3,3,4,4,2,3,4,4,3,4
Italiano (Auto),102,4,4,4,4,3,3,2,3,4,4,4,4
Parmigiano,102,3,3,3,3,4,4,2,3,4,4,3,3
Siciliano,102,3,3,3,3,3,3,2,3,3,3,2,3
Napoletano,103,3,3,3,3,3,3,2,2,4,4,3,3
Italiano (Auto),103,3,3,4,4,3,3,2,3,4,4,3,4
Parmigiano,103,3,3,4,4,3,3,2,3,4,4,3,3
Siciliano,103,3,3,3,3,4,4,2,3,4,4,3,4
